Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,2.253610157966613736e-02,2.253610157966613736e-02,4.291863999999999679e-01,4.291863999999999679e-01,2.880000000000000000e+02
-1.300000000000000000e+01,3.539448368549347190e-02,3.539448368549347190e-02,4.112061999999999662e-01,4.112061999999999662e-01,0.000000000000000000e+00
-1.100000000000000000e+01,5.490745353698730374e-02,5.490745353698730374e-02,3.892948999999999993e-01,3.892948999999999993e-01,0.000000000000000000e+00
-9.000000000000000000e+00,8.564786112308502009e-02,8.564786112308502009e-02,3.613628999999999869e-01,3.613628999999999869e-01,0.000000000000000000e+00
-7.000000000000000000e+00,1.309830497503280677e-01,1.309830497503280677e-01,3.276573000000000402e-01,3.276573000000000402e-01,0.000000000000000000e+00
-5.000000000000000000e+00,1.976037951707839968e-01,1.976037951707839968e-01,2.870421999999999696e-01,2.870421999999999696e-01,0.000000000000000000e+00
-3.000000000000000000e+00,2.913186353445053056e-01,2.913186353445053056e-01,2.393181000000000058e-01,2.393181000000000058e-01,0.000000000000000000e+00
-1.000000000000000000e+00,4.144876133203506674e-01,4.144876133203506674e-01,1.863131999999999844e-01,1.863131999999999844e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.629055252075195748e-01,5.629055252075195748e-01,1.309160000000000046e-01,1.309160000000000046e-01,0.000000000000000000e+00
3.000000000000000000e+00,7.207883266210556306e-01,7.207883266210556306e-01,7.885190000000000254e-02,7.885190000000000254e-02,0.000000000000000000e+00
5.000000000000000000e+00,8.594627563953399774e-01,8.594627563953399774e-01,3.765050000000000341e-02,3.765050000000000341e-02,0.000000000000000000e+00
7.000000000000000000e+00,9.505918641090392862e-01,9.505918641090392862e-01,1.262030000000000096e-02,1.262030000000000096e-02,0.000000000000000000e+00
9.000000000000000000e+00,9.900787421464920524e-01,9.900787421464920524e-01,2.434199999999999645e-03,2.434199999999999645e-03,0.000000000000000000e+00
1.100000000000000000e+01,9.991946840286254350e-01,9.991946840286254350e-01,1.854000000000000071e-04,1.854000000000000071e-04,0.000000000000000000e+00
1.300000000000000000e+01,9.999803107976913408e-01,9.999803107976913408e-01,3.899999999999999929e-06,3.899999999999999929e-06,0.000000000000000000e+00
1.500000000000000000e+01,9.999995722770690376e-01,9.999995722770690376e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,9.999999961853027752e-01,9.999999961853027752e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,9.999999998807906909e-01,9.999999998807906909e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
