Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.423384094238281411e-02,4.423384094238281411e-02,6.827941999999999068e-01,6.827941999999999068e-01,3.040000000000000000e+02
-1.300000000000000000e+01,6.901220846176146784e-02,6.901220846176146784e-02,6.654064000000000645e-01,6.654064000000000645e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.061230986118316677e-01,1.061230986118316677e-01,6.440289999999999626e-01,6.440289999999999626e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.618825345039367758e-01,1.618825345039367758e-01,6.168145999999998796e-01,6.168145999999998796e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.415400147438049316e-01,2.415400147438049316e-01,5.830724999999999936e-01,5.830724999999999936e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.518350973129272252e-01,3.518350973129272252e-01,5.416218000000000421e-01,5.416218000000000421e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.959623057842254545e-01,4.959623057842254545e-01,4.906394000000000033e-01,4.906394000000000033e-01,0.000000000000000000e+00
-1.000000000000000000e+00,6.720319139957428023e-01,6.720319139957428023e-01,4.297702999999999940e-01,4.297702999999999940e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.765976471900940314e-01,8.765976471900940314e-01,3.584134999999999960e-01,3.584134999999999960e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.103059521198272774e+00,1.103059521198272774e+00,2.786504000000000203e-01,2.786504000000000203e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.343202752590179516e+00,1.343202752590179516e+00,1.954366999999999632e-01,1.954366999999999632e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.583415767669677843e+00,1.583415767669677843e+00,1.175836000000000103e-01,1.175836000000000103e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.790534344196319516e+00,1.790534344196319516e+00,5.603099999999999747e-02,5.603099999999999747e-02,0.000000000000000000e+00
1.100000000000000000e+01,1.926937228202819874e+00,1.926937228202819874e+00,1.862279999999999838e-02,1.862279999999999838e-02,0.000000000000000000e+00
1.300000000000000000e+01,1.985414239883422916e+00,1.985414239883422916e+00,3.581999999999999681e-03,3.581999999999999681e-03,0.000000000000000000e+00
1.500000000000000000e+01,1.998797312974929907e+00,1.998797312974929907e+00,2.879000000000000049e-04,2.879000000000000049e-04,0.000000000000000000e+00
1.700000000000000000e+01,1.999940107822418156e+00,1.999940107822418156e+00,1.180000000000000222e-05,1.180000000000000222e-05,0.000000000000000000e+00
1.900000000000000000e+01,1.999993737697601359e+00,1.999993737697601359e+00,2.000000000000000174e-07,2.000000000000000174e-07,0.000000000000000000e+00
2.100000000000000000e+01,1.999998819589614785e+00,1.999998819589614785e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.999998493432998625e+00,1.999998493432998625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.999999752044677725e+00,1.999999752044677725e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.999998927116394043e+00,1.999998927116394043e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.999999775886535547e+00,1.999999775886535547e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,1.999999634742736898e+00,1.999999634742736898e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,1.999999631404876688e+00,1.999999631404876688e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,1.999999753952026449e+00,1.999999753952026449e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,1.999999754905700700e+00,1.999999754905700700e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,1.999999746799469014e+00,1.999999746799469014e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,1.999999756336212187e+00,1.999999756336212187e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,1.999999990224838209e+00,1.999999990224838209e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,1.999999877452850239e+00,1.999999877452850239e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
