Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.469347858428954906e-02,4.469347858428954906e-02,9.769039999999999946e-01,9.769039999999999946e-01,9.120000000000000000e+02
-1.300000000000000000e+01,7.041693496704101718e-02,7.041693496704101718e-02,9.747469000000000827e-01,9.747469000000000827e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.103608245849609371e-01,1.103608245849609371e-01,9.717114000000000029e-01,9.717114000000000029e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.711475505828857491e-01,1.711475505828857491e-01,9.680568999999999980e-01,9.680568999999999980e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.622067060470580913e-01,2.622067060470580913e-01,9.628297999999999579e-01,9.628297999999999579e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.960334291458129652e-01,3.960334291458129652e-01,9.557082000000000077e-01,9.557082000000000077e-01,0.000000000000000000e+00
-3.000000000000000000e+00,5.846779870986938965e-01,5.846779870986938965e-01,9.460510000000000863e-01,9.460510000000000863e-01,0.000000000000000000e+00
-1.000000000000000000e+00,8.386805677413939897e-01,8.386805677413939897e-01,9.324284000000000461e-01,9.324284000000000461e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.161451910972595147e+00,1.161451910972595147e+00,9.135166000000000119e-01,9.135166000000000119e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.549888504028320346e+00,1.549888504028320346e+00,8.865361000000000491e-01,8.865361000000000491e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.991568365097045934e+00,1.991568365097045934e+00,8.485395000000001131e-01,8.485395000000001131e-01,0.000000000000000000e+00
7.000000000000000000e+00,2.477385978698730451e+00,2.477385978698730451e+00,7.950305000000000843e-01,7.950305000000000843e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.998185944557190119e+00,2.998185944557190119e+00,7.205864999999999077e-01,7.205864999999999077e-01,0.000000000000000000e+00
1.100000000000000000e+01,3.543276001453399715e+00,3.543276001453399715e+00,6.204737999999999642e-01,6.204737999999999642e-01,0.000000000000000000e+00
1.300000000000000000e+01,4.107604364395141872e+00,4.107604364395141872e+00,4.937814000000000370e-01,4.937814000000000370e-01,0.000000000000000000e+00
1.500000000000000000e+01,4.679427713394164634e+00,4.679427713394164634e+00,3.480494000000000088e-01,3.480494000000000088e-01,0.000000000000000000e+00
1.700000000000000000e+01,5.223951116561889485e+00,5.223951116561889485e+00,2.029508000000000145e-01,2.029508000000000145e-01,0.000000000000000000e+00
1.900000000000000000e+01,5.652887082099914196e+00,5.652887082099914196e+00,8.879250000000001031e-02,8.879250000000001031e-02,0.000000000000000000e+00
2.100000000000000000e+01,5.897833559036254947e+00,5.897833559036254947e+00,2.524730000000000030e-02,2.524730000000000030e-02,0.000000000000000000e+00
2.300000000000000000e+01,5.981441764831543217e+00,5.981441764831543217e+00,4.029100000000000736e-03,4.029100000000000736e-03,0.000000000000000000e+00
2.500000000000000000e+01,5.996736264228820446e+00,5.996736264228820446e+00,3.822999999999999684e-04,3.822999999999999684e-04,0.000000000000000000e+00
2.700000000000000000e+01,5.998980619430541950e+00,5.998980619430541950e+00,6.900000000000001022e-05,6.900000000000001022e-05,0.000000000000000000e+00
2.900000000000000000e+01,5.999268876075744217e+00,5.999268876075744217e+00,2.790000000000000054e-05,2.790000000000000054e-05,0.000000000000000000e+00
3.100000000000000000e+01,5.999563207626342987e+00,5.999563207626342987e+00,1.230000000000000082e-05,1.230000000000000082e-05,0.000000000000000000e+00
3.300000000000000000e+01,5.999676000595092873e+00,5.999676000595092873e+00,9.700000000000000302e-06,9.700000000000000302e-06,0.000000000000000000e+00
3.500000000000000000e+01,5.999664194107055870e+00,5.999664194107055870e+00,9.399999999999999786e-06,9.399999999999999786e-06,0.000000000000000000e+00
3.700000000000000000e+01,5.999686594009399521e+00,5.999686594009399521e+00,8.699999999999999712e-06,8.699999999999999712e-06,0.000000000000000000e+00
3.900000000000000000e+01,5.999679131507873464e+00,5.999679131507873464e+00,6.600000000000000337e-06,6.600000000000000337e-06,0.000000000000000000e+00
4.100000000000000000e+01,5.999779095649719451e+00,5.999779095649719451e+00,6.800000000000000116e-06,6.800000000000000116e-06,0.000000000000000000e+00
4.300000000000000000e+01,5.999733232498169144e+00,5.999733232498169144e+00,5.900000000000001109e-06,5.900000000000001109e-06,0.000000000000000000e+00
4.500000000000000000e+01,5.999701178550719938e+00,5.999701178550719938e+00,8.400000000000000890e-06,8.400000000000000890e-06,0.000000000000000000e+00
4.700000000000000000e+01,5.999721282958984325e+00,5.999721282958984325e+00,8.800000000000000449e-06,8.800000000000000449e-06,0.000000000000000000e+00
