Ptxdb,IqXY,SIC1,SER,SER1,Other
4.000000000000000000e+00,3.042946494817733716e-01,3.042946494817733716e-01,2.443085937499999971e-01,2.443085937499999971e-01,4.508000000000000000e+04
5.000000000000000000e+00,3.396343473196029583e-01,3.396343473196029583e-01,2.288646175986842057e-01,2.288646175986842057e-01,0.000000000000000000e+00
6.000000000000000000e+00,3.862065412998199609e-01,3.862065412998199609e-01,2.085857319078947281e-01,2.085857319078947281e-01,0.000000000000000000e+00
7.000000000000000000e+00,4.446515841484069975e-01,4.446515841484069975e-01,1.838716077302631480e-01,1.838716077302631480e-01,0.000000000000000000e+00
8.000000000000000000e+00,5.171370815038680568e-01,5.171370815038680568e-01,1.545637335526315603e-01,1.545637335526315603e-01,0.000000000000000000e+00
9.000000000000000000e+00,6.013683346509933747e-01,6.013683346509933747e-01,1.226619037828947240e-01,1.226619037828947240e-01,0.000000000000000000e+00
1.000000000000000000e+01,6.927643458843231183e-01,6.927643458843231183e-01,9.036173930921051478e-02,9.036173930921051478e-02,0.000000000000000000e+00
1.100000000000000000e+01,7.855849146842956987e-01,7.855849146842956987e-01,6.015182976973683371e-02,6.015182976973683371e-02,0.000000000000000000e+00
1.200000000000000000e+01,8.672942148447037036e-01,8.672942148447037036e-01,3.563394325657894685e-02,3.563394325657894685e-02,0.000000000000000000e+00
1.300000000000000000e+01,9.306411405801773284e-01,9.306411405801773284e-01,1.782730263157894859e-02,1.782730263157894859e-02,0.000000000000000000e+00
1.400000000000000000e+01,9.698120006322861197e-01,9.698120006322861197e-01,7.471731085526315749e-03,7.471731085526315749e-03,0.000000000000000000e+00
1.500000000000000000e+01,9.889711691141128691e-01,9.889711691141128691e-01,2.661903782894737072e-03,2.661903782894737072e-03,0.000000000000000000e+00
1.600000000000000000e+01,9.964460116624832553e-01,9.964460116624832553e-01,8.359374999999998751e-04,8.359374999999998751e-04,0.000000000000000000e+00
1.700000000000000000e+01,9.990554888248444065e-01,9.990554888248444065e-01,2.202919407894736773e-04,2.202919407894736773e-04,0.000000000000000000e+00
1.800000000000000000e+01,9.953150285482406101e-01,9.953150285482406101e-01,1.061369243421052570e-03,1.061369243421052570e-03,0.000000000000000000e+00
