Ptxdb,IqXY,SIC1,SIC2,SIC3,SIC4,SER,SER1,SER2,SER3,SER4,Other
4.000000000000000000e+00,1.518190675377845689e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.072762701511382755e-01,0.000000000000000000e+00,3.198649088541666297e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.279459635416666519e-01,0.000000000000000000e+00,4.508000000000000000e+04
5.000000000000000000e+00,1.668476557731628507e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.673906230926514027e-01,0.000000000000000000e+00,2.626247829861111036e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.050499131944444414e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.819944663941860108e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.279778655767440432e-01,0.000000000000000000e+00,2.076947699652777549e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.307790798611110195e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.958112195134162903e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.832448780536651611e-01,0.000000000000000000e+00,1.602159288194444225e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.408637152777776902e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.082409678697585975e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.329638714790343901e-01,0.000000000000000000e+00,1.196609157986111040e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.786436631944444159e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,2.193791679143905771e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.775166716575623083e-01,0.000000000000000000e+00,8.523708767361110050e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.409483506944444020e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.286492878794670058e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.145971515178680233e-01,0.000000000000000000e+00,5.761827256944444635e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.304730902777777854e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.364179028272628824e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.456716113090515297e-01,0.000000000000000000e+00,3.579155815972222179e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.431662326388888871e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.422027372419834068e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.688109489679336273e-01,0.000000000000000000e+00,2.008734809027777797e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.034939236111111188e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.460929135084152231e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.843716540336608922e-01,0.000000000000000000e+00,9.832899305555553929e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.933159722222221572e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.483468817174434573e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.933875268697738292e-01,0.000000000000000000e+00,4.148763020833333946e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.659505208333333579e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.494312538504600552e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.977250154018402206e-01,0.000000000000000000e+00,1.380208333333333114e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.520833333333332454e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.498388371467590297e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.993553485870361186e-01,0.000000000000000000e+00,3.938802083333333895e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.575520833333333558e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.499647721946239576e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.998590887784958303e-01,0.000000000000000000e+00,7.378472222222221623e-06,0.000000000000000000e+00,0.000000000000000000e+00,2.951388888888888649e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.499921782910823898e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.999687131643295590e-01,0.000000000000000000e+00,1.193576388888888867e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.774305555555555467e-06,0.000000000000000000e+00,0.000000000000000000e+00
