Ptxdb,IqXY,SIC1,SIC2,SER,SER1,SER2,Other
-1.500000000000000000e+01,4.391916358470916715e-02,4.398202705383300742e-02,4.385630011558532687e-02,6.831007697115384358e-01,6.830246394230768958e-01,6.831768999999999759e-01,1.356800000000000000e+04
-1.300000000000000000e+01,6.794899499416351407e-02,6.799841737747192028e-02,6.789957261085510787e-02,6.662155663461537536e-01,6.662079326923076028e-01,6.662231999999999044e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.042751228809356695e-01,1.044809172153472882e-01,1.040693285465240508e-01,6.449771951923076729e-01,6.449314903846153912e-01,6.450228999999999546e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.571487883329391599e-01,1.570194194316864023e-01,1.572781572341918899e-01,6.192294443910255630e-01,6.193054887820512722e-01,6.191533999999999649e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.315499604940414458e-01,2.315141718387603853e-01,2.315857491493225062e-01,5.875865793269231530e-01,5.877241586538461959e-01,5.874490000000001100e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.307244592905044245e-01,3.306618652343750187e-01,3.307870533466338858e-01,5.496785464743589866e-01,5.496830929487178663e-01,5.496739999999999959e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.546193321943282628e-01,4.544460654258727916e-01,4.547925989627837895e-01,5.060821080128204974e-01,5.060725160256409616e-01,5.060917000000000332e-01,0.000000000000000000e+00
-1.000000000000000000e+00,5.973237876892090181e-01,5.972493512630462353e-01,5.973982241153716899e-01,4.571021578525641393e-01,4.571348157051281502e-01,4.570695000000000729e-01,0.000000000000000000e+00
1.000000000000000000e+00,7.482764967679977897e-01,7.474751565456390079e-01,7.490778369903564604e-01,4.055055225961538556e-01,4.059032451923076934e-01,4.051078000000000179e-01,0.000000000000000000e+00
3.000000000000000000e+00,8.963163577318191688e-01,8.944463641643524143e-01,8.981863512992859233e-01,3.546591782051282116e-01,3.555977564102564270e-01,3.537205999999999961e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.030002489089965945e+00,1.025589138031005820e+00,1.034415840148925847e+00,3.085164459935897385e-01,3.100574919871794677e-01,3.069754000000000094e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.141645777463912825e+00,1.134266122102737473e+00,1.149025432825088400e+00,2.705003403846153454e-01,2.735504807692307194e-01,2.674501999999999713e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.225665995955467213e+00,1.211453027009963934e+00,1.239878964900970493e+00,2.432375937499999807e-01,2.489296874999999964e-01,2.375454999999999928e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.284539080977439962e+00,1.262039688348770117e+00,1.307038473606109585e+00,2.258021519230769547e-01,2.346899038461538745e-01,2.169144000000000072e-01,0.000000000000000000e+00
1.300000000000000000e+01,1.320937327861785970e+00,1.287247062683105403e+00,1.354627593040466316e+00,2.172672211538461684e-01,2.305264423076922864e-01,2.040080000000000227e-01,0.000000000000000000e+00
1.500000000000000000e+01,1.342185805916786379e+00,1.298666115999221882e+00,1.385705495834350653e+00,2.149133903846153770e-01,2.323004807692307661e-01,1.975263000000000158e-01,0.000000000000000000e+00
1.700000000000000000e+01,1.356582915902137643e+00,1.306132360219955491e+00,1.407033471584320017e+00,2.151802469551282182e-01,2.355586939102564115e-01,1.948018000000000249e-01,0.000000000000000000e+00
1.900000000000000000e+01,1.370197097182273893e+00,1.309954856157302894e+00,1.430439338207244893e+00,2.149568423076922974e-01,2.394903846153846050e-01,1.904233000000000176e-01,0.000000000000000000e+00
2.100000000000000000e+01,1.381474331140517986e+00,1.315759033679962053e+00,1.447189628601074141e+00,2.149237120192307726e-01,2.417650240384615068e-01,1.880824000000000107e-01,0.000000000000000000e+00
2.300000000000000000e+01,1.389518675088882382e+00,1.318796194791793885e+00,1.460241155385971101e+00,2.151269854166666662e-01,2.440442708333333266e-01,1.862097000000000058e-01,0.000000000000000000e+00
2.500000000000000000e+01,1.397881720662117022e+00,1.320584686040878308e+00,1.475178755283355736e+00,2.143577320512820572e-01,2.457900641025640986e-01,1.829253999999999880e-01,0.000000000000000000e+00
2.700000000000000000e+01,1.404086120247840963e+00,1.323338213205337510e+00,1.484834027290344194e+00,2.138691709935897634e-01,2.462762419871795116e-01,1.814620999999999873e-01,0.000000000000000000e+00
2.900000000000000000e+01,1.409398843646049393e+00,1.325172621011734053e+00,1.493625066280364955e+00,2.135170238782051477e-01,2.467798477564102644e-01,1.802542000000000033e-01,0.000000000000000000e+00
